Meter ID,Facility,Consumption (kWh),Bill Start Date,Through,Tariff,Account Number
MTR-BLR-001,Bangalore Manufacturing Plant,125430.5,01/01/2024,31/01/2024,BESCOM-LT-4,ACC-10045
MTR-BLR-001,Bangalore Manufacturing Plant,118920.0,01/02/2024,29/02/2024,BESCOM-LT-4,ACC-10045
MTR-BLR-002,Bangalore Warehouse,45230.0,2024-01-01,2024-01-31,BESCOM-LT-2,ACC-10046
MTR-BLR-002,Bangalore Warehouse,42100.5,15/01/2024,14/02/2024,BESCOM-LT-2,ACC-10046
MTR-MUM-001,Mumbai Office Tower,89500.0,01-Jan-2024,31-Jan-2024,TATA-POWER-Comm,ACC-10047
MTR-MUM-001,Mumbai Office Tower,-500.0,01/02/2024,29/02/2024,TATA-POWER-Comm,ACC-10047
MTR-DEL-001,Delhi HQ,210000.0,01/01/2024,31/01/2024,BSES-Commercial,ACC-10048
MTR-DEL-001,Delhi HQ,195000.0,01/02/2024,28/02/2024,BSES-Commercial,ACC-10048
MTR-HYD-001,Hyderabad R&D Center,,01/01/2024,31/01/2024,TSSPDCL-HT,ACC-10049
MTR-CHN-001,Chennai Plant,850000.0,01/01/2024,31/01/2024,TANGEDCO-HT-1,ACC-10050
MTR-PUN-001,Pune Factory,67800.0,13/02/2024,31/01/2024,MSEDCL-LT-3,ACC-10051
MTR-KOL-001,Kolkata Distribution Center,38200.0,,31/01/2024,CESC-Commercial,ACC-10052
